Command,Description,Syntax,Parameters,Link,Category,Tags
batch,Execute commands when system load levels permit.," at [-V] [-q <i>queue</i>] [-f <i>file</i>] [-mldbv] <i>TIME</i> # Execute commands at a specified time. 
 at [-V] [-q <i>queue</i>] [-f <i>file</i>] [-mldbv] -t <i>time_arg</i> # Execute commands at a specified time. 
 at -c <i>job</i> [<i>job</i>...]
 atq [-V] [-q <i>queue</i>] # List the user's pending jobs, or for the superuser; list all jobs.
 atrm [-V] <i>job</i> [<i>job</i>...] # Delete jobs, identified by their job number.
 batch # Execute commands when system load levels permit.
"," -c <a href=""cat.html"">Cat</a> the jobs listed on the command line to standard output.
 -d Is an alias for atrm.
 -f <i>file</i>
 Read the job from <i>file</i> rather than standard input.
 -l Is an alias for atq.
 -m Send mail to the user when the job has completed even if there was no output.
 -q <i>queue
 </i> use the specified queue.
 A queue designation consists of a single letter; valid queue designations range from a to z.
 and A to Z. The a queue is the default for at and the b queue for batch.
 Queues with higher letters run with increased niceness.
 The special queue ""="" is reserved for jobs which are currently running. If a job is submitted to a queue
 designated with an uppercase letter, the job is treated as if it were submitted to batch at the time of
 the job. Once the time is reached, the batch processing rules with respect to load average apply.
 If atq is given a specific queue, it will only show jobs pending in that queue.
 -t <i>time_arg</i>
 Submit the job to be run at the time specified by the <i>time_arg</i> option argument, which must have
 the same format as specified for the <a href=""touch.html"">touch</a> utility's -t time option argument ([[<i>CC</i>]<i>YY</i>]<i>MMDDhhmm</i>). 
 -v Show the time the job will be executed before reading the job. 
 Times displayed will be in the format ""Thu Feb 20 14:50:00 1997"".
 -V Print the version number to standard error.</pre>
",https://ss64.com/bash/at.html,System Administration,Process management
awk,"Find and Replace text, database sort/validate/index"," awk &lt;<i>options</i>&gt; '<i>Program</i>' <i>Input-File1 Input-File2</i> ...
 awk -f <i>PROGRAM-FILE</i> &lt;<i>options</i>&gt; <i>Input-File1 Input-File2</i> ...
"," -F <i>FS</i>
 --field-separator <i>FS</i>
 Use FS for the input field separator (the value of the '<i>FS</i>'
 predefined variable).
 -f <i>PROGRAM-FILE</i>
 --file <i>PROGRAM-FILE</i>
 Read the awk program source from the file <i>PROGRAM-FILE</i>, instead
 of from the first command line argument.
 -mf<i> NNN</i>
 -mr<i> NNN</i>
 The 'f' flag sets the maximum number of fields, and the 'r' flag
 sets the maximum record size. These options are ignored by
 'gawk', since 'gawk' has no predefined limits; they are only for
 compatibility with the Bell Labs research version of Unix awk.
 -v <i>VAR</i>=<i>VAL</i>
 --assign <i>VAR</i>=<i>VAL</i>
 Assign the variable <i>VAR</i> the value <i>VAL</i> before program execution
 begins.
 -W traditional
 -W compat
 --traditional
 --compat
 Use compatibility mode, in which 'gawk' extensions are turned off.
 -W lint
 --lint
 Give warnings about dubious or non-portable awk constructs.
 -W lint-old
 --lint-old
 Warn about constructs that are not available in the original
 Version 7 Unix version of awk.
 -W posix
 --posix
 Use POSIX compatibility mode, in which 'gawk' extensions are
 turned off and additional restrictions apply.
 -W re-interval
 --re-interval
 Allow interval expressions, in regexps.
 -W source=<i>PROGRAM-TEXT</i>
 --source <i>PROGRAM-TEXT</i>
 Use PROGRAM-TEXT as awk program source code. This option allows
 mixing command line source code with source code from files, and is
 particularly useful for mixing command line programs with library
 functions.
 --
 Signal the end of options. This is useful to allow further
 arguments to the awk program itself to start with a '-'. This
 is mainly for consistency with POSIX argument parsing conventions.
 '<i>Program</i>'
 A series of patterns and actions: see below
",https://ss64.com/bash/awk.html,System Administration,Text editing
basename,Strip directory and suffix from filenames," basename <i>NAME</i> [<i>SUFFIX</i>]
 basename <i>OPTION
"," --help
 Display help
 --version
 Output version information and exit</pre>
",https://ss64.com/bash/basename.html,System Administration,Disk/Volume Management
base32,Base32 encode/decode data and print to standard output," base32 [<i>OPTION</i>]... [<i>FILE</i>]
"," -d
 --decode
 Decode data.
 -i
 --ignore-garbage
 When decoding, ignore non-alphabet characters.
 -w
 --wrap=<i>COLS</i>
 Wrap encoded lines after <i>COLS</i> character (default 76). 
 Use 0 to disable line wrapping.
 --help
 Display this help and exit.
 --version
 Output version information and exit.</pre>
",https://ss64.com/bash/base32.html,File Manipulation,Encryption
base64,Base64 encode/decode data and print to standard output," base64 [<i>OPTION</i>]... [<i>FILE</i>]
"," -d
 --decode
 Decode data.
 -i
 --ignore-garbage
 When decoding, ignore non-alphabet characters.
 -w
 --wrap=<i>COLS</i>
 Wrap encoded lines after <i>COLS</i> character (default 76). 
 Use 0 to disable line wrapping.
 --help
 Display this help and exit.
 --version
 Output version information and exit.</pre>
",https://ss64.com/bash/base64.html,File Manipulation,Encryption
bash,GNU Bourne-Again SHell," bash [<i>options</i>] [<i>file</i>]
"," <i>file</i> A file containing commands to run, by default bash will read commands from standard input.
 In addition to the single-character shell options documented in the description of the <a href=""set.html"">set</a> builtin command,
 bash interprets the following options when it is invoked:
 -c <i>string</i> Read commands are read from <i>string</i>.
 If there are arguments after <i>string</i>, they are assigned to the positional parameters, starting with $0.
 -i Interactive shell.
 -l Make bash act as if it had been invoked as a login shell, see INVOCATION below.
 -r Restricted shell, see RESTRICTED SHELL below.
 -s Commands are read from the standard input. The default if no <i>file</i> provided.
 This option allows the positional parameters to be set when invoking an interactive shell.
 -D A list of all double-quoted strings preceded by $ is printed on the standard output.
 These are the strings that are subject to language translation when the current locale is not C
 or POSIX. This implies the -n option; no commands will be executed.
 [-+]O [shopt_option]
 shopt_option is one of the shell options accepted by the <a href=""shopt.html"">shopt</a> builtin.
 If shopt_option is present, -O sets the value of that option; +O unsets it. If shopt_option is not supplied,
 the names and values of the shell options accepted by shopt are printed on the standard output.
 If the invocation option is +O, the output is displayed in a format that may be reused as input.
 -- A -- signals the end of options and disables further option processing.
 Any arguments after the -- are treated as filenames and arguments. An argument of - is equivalent to --.
 Bash also interprets a number of multi-character options. These options must appear on the command line
 before the single-character options to be recognized.
 --debugger Arrange for the debugger profile to be executed before the shell starts.
 Turns on extended debugging mode (see the description of the extdebug option to the <a href=""shopt.html"">shopt</a> builtin)
 and shell function tracing (see the description of the -o functrace option to the <a href=""set.html"">set</a> builtin). 
 --dump-po-strings Equivalent to -D, but the output is in the GNU gettext po (portable object) file format.
 --dump-strings Equivalent to -D. 
 --help Display a usage message on standard output and exit successfully.
 --init-file <i>file</i>
 --rcfile <i>file</i>
 Execute commands from <i>file</i> instead of the standard personal initialization file ~/.bashrc
 if the shell is interactive, see INVOCATION below.
 --login Equivalent to -l.
 --noediting Do not use the GNU readline library to read command lines when the shell is interactive.
 --noprofile Do not read either the system-wide startup file /etc/profile or any of the personal initialization
 files ~/.bash_profile, ~/.bash_login, or ~/.profile.
 By default, bash reads these files when it is invoked as a login shell (see INVOCATION below).
 --norc Do not read and execute the personal initialization file ~/.bashrc if the shell is interactive.
 This option is on by default if the shell is invoked as sh.
 --posix Change the behavior of bash where the default operation differs from the POSIX standard to
 match the standard (posix mode).
 --restricted Restricted shell, see RESTRICTED SHELL below.
 --rpm-requires Produce the list of files that are required for the shell script to run.
 This implies '-n' and is subject to the same limitations as compile time error checking checking;
 Backticks, [] tests, and evals are not parsed so some dependencies may be missed.
 --verbose Equivalent to -v.
 --version Show version information for this instance of bash on the standard output and exit successfully.</pre>
",https://ss64.com/bash/bash.html,System Administration,
bc,Arbitrary precision calculator language," bc <i>options</i> <i>file</i>... 
",Not Available,https://ss64.com/bash/bc.html,System Utility,
bg,Send to background," bg [<i>job_id</i>...]
",Not Available,https://ss64.com/bash/bg.html,System Administration,Process management
bind,Set or display readline key and function bindings &bull;," bind [-m <i>keymap</i>] [-lpsvPSVX] 
 bind [-m <i>keymap</i>] [-q <i>function</i>] [-u <i>function</i>] [-r <i>keyseq</i>] 
 bind [-m <i>keymap</i>] -f <i>filename</i> 
 bind [-m <i>keymap</i>] -x <i>keyseq</i>:<i>shell-command</i> 
 bind [-m <i>keymap</i>] <i>keyseq</i>:<i>function-name</i> or <i><a href=""https://www.gnu.org/software/bash/manual/html_node/Bindable-Readline-Commands.html"">readline-command</a></i>
"," -m <i>keymap</i> Use <i>keymap</i> as the keymap to be affected by the subsequent bindings.
 Acceptable keymap names are emacs, emacs-standard, emacs-meta, emacs-ctlx, vi,
 vi-move, vi-command, and vi-insert. vi is equivalent to vi-command;
 emacs is equivalent to emacs-standard.
 -l List the <b>names</b> of all readline functions.
 -p Display readline function names and bindings in such a way that they can be re-read.
 -P List current readline function names and bindings.
 -s Display readline key sequences bound to macros and the strings they output in such a way that
 they can be re-read.
 -S Display readline key sequences bound to macros and the strings they output.
 -v Display readline variable names and values in such a way that they can be re-read.
 -V List current readline variable <b>names</b> and <b>values</b>.
 -f <i>filename</i> Read key bindings from <i>filename</i>.
 -q <i>function</i> Query about which keys invoke the named function.
 -u <i>function</i> Unbind all keys bound to the named function.
 -r <i>keyseq</i> Remove any current binding for <i>keyseq</i>.
 -x <i>keyseq</i>:<i>shell-command</i> Cause <i>shell-command</i> to be executed whenever keyseq is entered.
 When shell-command is executed, the shell sets the READLINE_LINE variable to the
 contents of the readline line buffer and the READLINE_POINT variable to the current
 location of the insertion point. If the executed command changes the value of
 READLINE_LINE or READLINE_POINT, those new values will be reflected in the editing state.
 -X List all key sequences bound to shell commands and the associated commands in a format that
 can be reused as input. </pre>
",https://ss64.com/bash/bind.html,System Administration,
break,Exit from a loop •,Not Available,Not Available,https://ss64.com/bash/break.html,System Administration,
builtin,Run a shell builtin," builtin [<i>shell-builtin</i> [<i>args</i>]]</pre>
",Not Available,https://ss64.com/bash/builtin.html,System Administration,
bzip2,Compress or decompress named file(s)," bzip2 [ -cdfkqstvzVL123456789 ] [ <i>filenames</i> ... ]
 bunzip2 [ -fkvsVL ] [ <i>filenames</i> ... ]
 bzcat [ -s ] [ <i>filenames</i> ... ]
 bzip2recover <i>filename</i>
"," -c --stdout Compress or decompress to standard output.
 -d --decompress Force decompression. bzip2, bunzip2 and bzcat are really the same program,
 and the decision about what actions to take is done on the basis of which
 name is used. This flag overrides that mechanism, and forces bzip2 to decompress.
 -z --compress The complement to -d: forces compression, regardless of the invokation name.
 -t --test Check integrity of the specified file(s), but don't decompress them.
 This really performs a trial decompression and throws away the result.
 -f --force Force overwrite of output files. Normally, bzip2 will not overwrite existing
 output files. Also forces bzip2 to break hard links to files, which it otherwise
 wouldn't do. bzip2 normally declines to decompress files which don't have the
 correct magic header bytes. If forced (-f), however, it will pass such files
 through unmodified. This is how GNU gzip behaves.
 -k --keep Keep (don't delete) input files during compression or decompression.
 -s --small Reduce memory usage, for compression, decompression and testing. Files are
 decompressed and tested using a modified algorithm which only requires 2.5 bytes
 per block byte. This means any file can be decompressed in 2300k of memory, albeit
 at about half the normal speed. During compression, -s selects a block size of
 200k, which limits memory use to around the same figure, at the expense of your
 compression ratio. In short, if your machine is low on memory (8 megabytes or less),
 use -s for everything.
 -q --quiet Suppress non-essential warning messages. Messages pertaining to I/O errors and
 other critical events will not be suppressed.
 -v --verbose Verbose mode -- show the compression ratio for each file processed. Further -v's
 increase the verbosity level, spewing out lots of information which is primarily
 of interest for diagnostic purposes.
 -L --license
 -V --version Display the software version, license terms and conditions.
 -1 (or --fast) to -9 (or -best)
 Set the block size to 100 k, 200 k ... 900 k when compressing. Has no effect when
 decompressing. The --fast and --best aliases are primarily for GNU gzip
 compatibility. In particular, --fast doesn't make things significantly faster.
 And --best merely selects the default behaviour.
 -- Treats all subsequent arguments as file names, even if they start with a dash.
 This is so you can handle files with names beginning with a dash,
 for example: bzip2 -- -myfilename.
 --repetitive-fast, --repetitive-best
 These flags are redundant in versions 0.9.5 and above. They provided some coarse
 control over the behaviour of the sorting algorithm in earlier versions, bzip now
 has an improved algorithm which renders these flags irrelevant.</pre>
",https://ss64.com/bash/bzip2.html,File Manipulation,File Compression
bunzip2,Compress or decompress named file(s)," bzip2 [ -cdfkqstvzVL123456789 ] [ <i>filenames</i> ... ]
 bunzip2 [ -fkvsVL ] [ <i>filenames</i> ... ]
 bzcat [ -s ] [ <i>filenames</i> ... ]
 bzip2recover <i>filename</i>
"," -c --stdout Compress or decompress to standard output.
 -d --decompress Force decompression. bzip2, bunzip2 and bzcat are really the same program,
 and the decision about what actions to take is done on the basis of which
 name is used. This flag overrides that mechanism, and forces bzip2 to decompress.
 -z --compress The complement to -d: forces compression, regardless of the invokation name.
 -t --test Check integrity of the specified file(s), but don't decompress them.
 This really performs a trial decompression and throws away the result.
 -f --force Force overwrite of output files. Normally, bzip2 will not overwrite existing
 output files. Also forces bzip2 to break hard links to files, which it otherwise
 wouldn't do. bzip2 normally declines to decompress files which don't have the
 correct magic header bytes. If forced (-f), however, it will pass such files
 through unmodified. This is how GNU gzip behaves.
 -k --keep Keep (don't delete) input files during compression or decompression.
 -s --small Reduce memory usage, for compression, decompression and testing. Files are
 decompressed and tested using a modified algorithm which only requires 2.5 bytes
 per block byte. This means any file can be decompressed in 2300k of memory, albeit
 at about half the normal speed. During compression, -s selects a block size of
 200k, which limits memory use to around the same figure, at the expense of your
 compression ratio. In short, if your machine is low on memory (8 megabytes or less),
 use -s for everything.
 -q --quiet Suppress non-essential warning messages. Messages pertaining to I/O errors and
 other critical events will not be suppressed.
 -v --verbose Verbose mode -- show the compression ratio for each file processed. Further -v's
 increase the verbosity level, spewing out lots of information which is primarily
 of interest for diagnostic purposes.
 -L --license
 -V --version Display the software version, license terms and conditions.
 -1 (or --fast) to -9 (or -best)
 Set the block size to 100 k, 200 k ... 900 k when compressing. Has no effect when
 decompressing. The --fast and --best aliases are primarily for GNU gzip
 compatibility. In particular, --fast doesn't make things significantly faster.
 And --best merely selects the default behaviour.
 -- Treats all subsequent arguments as file names, even if they start with a dash.
 This is so you can handle files with names beginning with a dash,
 for example: bzip2 -- -myfilename.
 --repetitive-fast, --repetitive-best
 These flags are redundant in versions 0.9.5 and above. They provided some coarse
 control over the behaviour of the sorting algorithm in earlier versions, bzip now
 has an improved algorithm which renders these flags irrelevant.</pre>
",https://ss64.com/bash/bzip2.html,File Manipulation,File Compression
